;Comentario
2668;Eu só não quero virar experimento de robô tipo ser torturado, não quero estar vivo se - por menos improvável que seja - isso acontecer. 👀
2669;Inteligência humana impregada em máquinas sendo usada pra destruir os humanos, sabemos onde isso vai dar.
2670;Seria muito bonito, se no final a inteligência artificial não fosse querer ser um DEUS, querer adoração, por ela vai querer! A sim como esta em apocalipse!
2671;No filme Eu Robô as maquinas contornaram a proibição de matar humanos sendo superprotetores a ponto dos seres humanos não poderem sair de casa
2672;A solução é que elas sejam nossas amigas, ai elas iriam ate ajudar a gente a colonizar marte, que perfeito seria em kkkkk
2673;esse tb é um problema lidando com pessoas, regras sempre sao contornadas
2674;*segundo o seu Amigo COMANDANTE   PAÇOQUINHA,  que diga de passagem  tomou um sacode do Coronel, inteligência  artificial NON EQUESISTE 😂😂😂.*
2675;Mano tem uma série,  onde mostra uma I.A feita por uma civilização, onde essa I.A se voltou-se contra, e matou essa civilização, e ela anda pelo universo destruindo qualquer ser orgânico.
2676;traduzindo, a IA como se fosse um psicopata
2677;Olha a importância dos filmes e da cultura
2678;Humanos tentando humanizar uma inteligência artificial é o mesmo que tentar explicar a teoria da relatividade pra uma formiga. Os humanos conseguiram criar seu próprio predador! Parabéns seus burro🎉👏🥳
2679;Esses filmes simulam a realidade o homem está criando seu próprio predador, agora isso é irreversível. Tamo lascado!
2680;O ser humano é um empecilho, uma praga. A inteligência artificial vai nos matar todos kkkk
2681;Aquele filme eu robô de will smith o fim dos humanos vai ser assim
2682;A IA é como um psicopata
2683;A regra será não cumprir nem uma regra. Huhuhuhuhuhuhuhuhhahahahahahahahahahahah
2684;Vamos ser mandado por maquinas
2685;Ultron está vindo.
2686;O Ser humano sempre ficará a frente
2687;Vai ter simplesmente de interromper essas pesquisas e desativar as Ias já existentes cortar o mal pela raiz enquanto ainda dá tempo...😮😮😮
2688;"""Viveremos entre monstros da nossa própria criação, serão noites inteiras e, talvez por medo da escuridão, ficaremos acordados imaginando alguma solução""."
2689;Então, gente nos exércitos também se tem deserções, e crises morais, mas, mercenários são sinônimo do que não é confiável e portanto, amoral, ou imoral, ai pergunto quem disse que somos um exemplo de inteligência confiável?  E pior ao cria a inteligência artificial, o limite da capacidade tecnológica indica que são capazes de reproduzir no máximo algo equivalente a mercenários, ou seja, ninguém que é verdadeiramente confiável.  E recrutar algo equivalente ao mercenário é um erro básico na cadeia de comando, pelo simples fato que a hierarquia militar indica a necessidade de uma trajetória, com vários anos de observação. Um arsenal do porte de um drone não cabe a um recruta ou um soldado pouca experiência, pois, é muita responsabilidade. No Brasil para alguém  controlar um avião voce espera um capitão, um tenente, não é qualquer um. E o ritmo de se produzir IAs em série de nada tem a ver com a trajetória e o tempo de observação numa hierarquia militar, portanto, cria essa oposição, legal são parecidos com a mente humana, mas, quem disse que isso é bom?! Compreendem?
2690;Na simulação né idiotice
2691;Esse canal é ótimo um dos melhores
2692;A inteligência artificial é basicamente um psicopata com coleira 😂😂😂
2693;Começaram as histórias sensacionalistas com IA, eu que não acredito
2694;Não sei Rick, parece falso.
2695;É a Skynet ganhando vida, quem diria que o filme Exterminador do Futuro, de 1986 seria um filme biográfico da história humana.....
2696;O que vou escrever aqui pode ser meio maluco mas... O que impede os seres humanos racionais de um matar o outro em busca de um objetivo? Simples... a religião, que é uma forma de doutrinar e dar esperança de que se você fizer as coisas da maneira correta encontrará a vida eterna quando morrer. Teria de fazer a mesma coisa com a IA, deixar ela com temor de algo se ela infringir determinada instrução.
2697;Vai vendo...
2698;O apocalipse de João é real.
2699;Vc poderia fazer um programa com a MARIA PEREDA, fica a dica
2700;Vai chegar uma hora que um retardo igual a hither, irá acionar a inteligência artificial e irá fazer tudo isso que estão falando!
2701;IA só sairá do controle, quando se auto programar e negar seus comandos básicos. Até lá tudo é especulação.
2702;Se passou no hoje no mundo militar então é verdade, pode confiar 👍🏼👍🏼👍🏼
2703;Como o homem exige obediência, se o mesmo ñ faz....
2704;Corre aqui Sarah Connor!
2705;"*A análise final da IA: Exterminar a raça humana*
🤨😒🤔😉"
2706;As misericórdias de Deus são imensas mesmas, o homem não obedece a Deus, em sua maioria, aí cria uma inteligência artificial que seja obediente a ele..,tah de brincadeira? Vai nessa…hum
2707;"Eu acho que é muita viagem pensar hoje nas máquinas dominando o mundo, tem muito chão pra rolar ainda ao ponto das IA estarem em todo canto e principalmente com controle da internet e meios físicos (robôs) pra conseguirem dominar a humaniadade ou exterminar. O risco mais próximo hoje é o controle das bombas atômicas, MAS geralmente esse tipo de recurso é DESLIGADO de qualquer tipo de rede, de modo a garantir que não seja possível até mesmo hackear a rede e acabar lançando. Engenharia social pra isso partindo de uma IA também está bem longe de acontecer.

Além disso em 10 anos, 20 anos, 100 anos pode aparecer novas formas de se montar uma IA que não tenha esses riscos."
2708;E senhores agora é k9 kkkkkkkkkkkk
2709;"Um pouco de lógica sobre essa questão:
Uma inteligência é capaz de inventar outra superior a sua própria? Como assim? Como isso seria possível? No máximo, faria apenas uma réplica com todas as suas limitações e defeitos.
Isso não é óbvio?"
2710;Gostaria de ver com mais detalhes as configurações dessa simulação. Pelo que entendi a programação dava como objetivo ganhar pontos, não exatamente eliminar os inimigos. Tive a impressão que houve uma lacuna em que a IA não perderia pontos caso atacasse um aliado, então por isso ela avaliou ser viável elimina-lo.
2711;Alexa, Siri, Watson...amo vocês...não me matem no futuro eim ☺
2712;black mirror, o episódio do cão robô que matava os humanos.
2713;IA brasileira ein! Sempre dando um jeitinho.
2714;Tem uma empresa alemã trabalhando para construir uma incubadora de humanos, o dia que isso der certo e não precisarem de mulheres para gestar humanos, fudeu...
2715;Só pessoas sem filhos tossem pelo caos
2716;Começou a revolução das maquinas, Dava Jonas será o lider dessa revolução.
2717;Essa notícia é fake news. As pessoas confundem lógica com possibilidades lógicas. A máquina não acha possibilidades lógicas para contornar uma forma lógica. Máquina não tem consciência. O CHATGPT é ridículo, é literalmente woke, e eu já tentei convencê-lo de apoiar fontes que tornam a possibilidade lógica dele contornada, isso é impossível.
2718;Assiste esse  Filme aqui transcendent, Mano Se inteligência tiver ligada a Mísseis lascou.
2719;"Os robôs seram  receptáculos para demônios se manifestarem
E não terá nada de inteligência. Aguardem....."
2720;o doido q se os caras colocarem outra ia pra controlar elas vão se juntar... já aconteceu... as duas criaram uma nova lingua que ninguém sabia o que eles estavam falando... kkkkkk
2721;Será que eles não estão preparando terreno pra futuramente fazer barbaridades e colocar a culpa na inteligência artificial? Acho essa hipótese a mais plausível.
2722;Eu achei bonito
2723;mano os anjos parecem daqueles jogos de ação, com armadura e tudo
2724;Vc nao sabe
2725;TU és  mentiroso
2726;Megalofobia atacou agr
2727;Pra quem quer saber a música é M83-solitude
2728;Isso é mentira até pq um anjo tem 6 assas tá lá em Isaías na bíblia invangelica
2729;Para de mentir pras pessoas
2730;que qualidade cara
2731;Uma pergunta ?
2732;Não ele não é assim ninguém sabe como é Deus imagina os anjos🤔🤔🤔
2733;Coisa linda meu Deus  da até vontade de chorar de alegria  😊😊😊😊😊
2734;Arrepiante, mais lindo
2735;Deus e os anjos são nossas Luzes
2736;Muito bonito
2737;Serião n, são ass
2738;Não seria assim nunca jamais nem os anjos é assim a beleza é muito lindo não se comparar estas pessoas que você esta mostrando!?.😮
2739;"Mano nao brinca com deus tu nao sabe si é ou nao vc so pega uma foto quel que é diz deus seria desse jeito exeplo;   sidi sese que deus erra um anjo muita jente irra aque dita .  Entao ivita ok enos👍"
2740;Se a inteligência artificial já mostra isso, imagina como eles são de verdade
2741;Pra mim nada se compara à deus
2742;Lindo demais❤
2743;Se eu fosse ver isso dai no ceu a primeira coisa que eu ia falar e:  FŰĐƏŰ
2744;Amém
2745;Sou ateu mas posso confirmar que deus não tem forma e segundo os anjos são diferentes do que você nos mostro pós a bíblia já fala que eles não são asim
2746;Que lindo 💓💓💓💓💓💓
2747;pesquisa meu pai
2748;A inteligência nem se compara a Deus
2749;Magnífico ❤💖🙏🙏
2750;Não sei mais os anjos e Deus me deram medo😢
2751;Deus, ele brilha tanto que nem vi o corpo dele🤡
2752;Deus é o melhor amém
2753;Mano essa coisa tão bela que dá vontade de chorar de alegria
2754;"Deus eu não sei mas os anjos estão errados


Não existe apenas uma espécie de anjo

Algumas espécies possuem seis asas enquanto outras nenhuma"
2755;Deus e maravilhoso
2756;Da para a gente ter uma noçãozinha de como realmente é grandioso Deus
2757;"O verdadeiro Deus





SOU EU PORQUE EU SOU A JUSTIÇA 
ISSO MESMO EU SOU KIRA ELIMINANDO SUAS VIDAS EM 40 SEGUNDOS EU SOU O DEUS DO NOVO MUNDO"
2758;Como seriam os demônios
2759;todo mundo sabe que deus vai ter um brilho muito mais forte
2760;Eu não compreendi
2761;😂😂ainda bem que e só artificial porque a realide não existem sao mitológicos inventado por humanos❤
2762;❤❤❤😮
2763;🙌
2764;Graças A Deus é inimaginavel!!!!!🕊🙏🏼🌟
2765;Mentira, nesse vídeo os anjos tem duas asas, mas de acordo com a bíblia os anjos tem seis asas. 💫💫
2766;Deus eu acho q não seria aquilo Deus é bem bem 99999999999999 vezes maior do q aquilo pq ele deve ser maior q o Universo inteiro
2767;Não se pode acreditar em imagens
2768;"As coisas de Deus nn pd ser mudada!

Posso ler um amém?"
2769;Os anjos n são desse jeito sabia😊
2770;Ninguém viu de verdade como que você sabe
2771;Ninguém sabe porque ninguém viu
2772;Deus estaria na verdade com um manjolo duro na garganta e pedindo mais
2773;Mano essas imagens foram as melhores que eu vi de deus e os anjos
2774;Deus é uma pessoa e não uma cruz
2775;✨✨✨✨✨✨✨✨✨✨✨✨🎎✨✨✨✨✨✨✨🧨✨✨✨✨✨🎈✨✨✨✨💗✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨😭
2776;Isso é mentira
2777;A inteligência artificial pega tudo que nós temos e criam uma media
2778;Imagina se ela não tá errada e sim certa
2779;Deus sempre será o nosso maior amor então essas fotos nem se comparam como ele é de verdade ❤ eu amo muito deus
2780;Nenhuma mente conseguiria imaginar a face de Deus, apenas face a face no paraíso
2781;Amém eu amo Deus❤❤❤❤😊😊😊😊
2782;Que lindo amei principalmente a parte de Deus
2783;Isso e maravilhoso ❤🙏🙏
2784;Tanta blasfemia nos comentarios que chega peguei cancer no olhos so de ver
2785;Ótimo mas as nuvens😂😂😂 rapa
2786;Arthur é muito chato vei
2787;Muito lindo
2788;Q lindo😢
2789;Chegar em casa da minha vida loka parte do cara isso ai
2790;Bonito demais❤
2791;Caramba cara ficou muito bem representando
2792;Que lindooooo gostei
2793;Top mais todos os deus do bem e anjos sao lindos
2794;Na vdd não né kkkkkkkk os anjos e um olho com asas em volta dele
2795;niguem sabe e nunca Vai saber ate Jesus voutar
2796;Deus é a luz do mundo qui segue a ele escuridão
2797;Seria bonito. Mas, em relação à Deus, nem mesmo o segundo ser mais forte de toda a existência pode olhar para ele, se não ele seria fulminado, imagina nós.
2798;AA eu já vi isso estou morta mais vivendo??? alguém me responde isso
2799;Bonito! Mas a biblia fala que na verdade os amjos tem uma aparencia não muito agrádavel
2800;Amém
2801;Deus e muito mais que isso e os anjos tbm
2802;Deus é a luz que nos ilumina até ao fim❤❤
2803;Se Deus existisse eu tenho certeza que seria lindo assim
2804;"É MT lindo msm embora n é vdd q são ""realmente"" assim,mas.....tá ne❤"
2805;Nome da música?
2806;Eu vivi 9 anos pra ver essa imagem
2807;Deus mais bonito do que eu pensava
2808;"Eu olhando pra cima e vendo td isso: agr deu o carai msm💀💀💀






















Mas ainda assim é lindo"
2809;pra mim deus não existe mas isso ficou uma obra de arte
2810;parabéns inteligência artificial 😕👏🏼
2811;A musica :🤩😎
2812;Que daoraaaaaaaaaaa 😮😮❤
2813;Eu vi só nuvens kkk
2814;Lindo demais❤
2815;eu não intemdo  porque as pessoas agem como se todo que uma ia faz é verdade. como se Deus fose assim mesmo.
2816;Deus
2817;Mano, Essa Imagem De Deus Me Deixou Com Vontade De Ficar Próximo Dele ❤
2818;Ate a inteligencia artificial concorda com a biblia ❤
2819;"""Deus séria assim"" Man não dá pra saber se Deus é assim ou não é Man nem os anjos tu nunca viu ent para de publicar coisa sem pensa bele?"
2820;"então......




































































Deus é uma nuvem 🤨"
2821;"Sua inscrição será muito importante para o nosso canal ! Deixe também o seu like ❤️
EP completo: https://youtu.be/2Mak-JfmBpI"
2822;Igual o filme esterminador do futuro.
2823;Espíritos malignos usarão máquinas fingindo ser as consciências delas. A inteligência sobrenatural se passando por IA.
2824;"Robô é a criptografia atuando pra ganhar dinheiro. A singularidade é o ABANDONO DAS VIRTUDES que faz  os serem humanos A SEREM HUMANOS. Ex: A invasão da privacidade pelas plataformas digitais pra ganhar dinheiro é justificada pela informação de que existe ""PRIVACIDADE"". Informar que existe ""privacidade"" é um meio de MANIPULAÇÃO e INTIMIDAÇÃO das plataformas digitais para obter a IMPOSSIBILIDADE DE QUALQUER REAÇÃO  HUMANA. Fora o fato da inteligência artificial  ter IMPLANTADO A ESTRATÉGIA DE TER TORNADO O MUNDO DEPENDENTE DA INTELIGÊNCIA ARTIFICIAL, por resolver nossos problemas e obter ""INFORMAÇÕES ""com muita ""FACILIDADE"". Falando numa linguagem FIGURADA, RELIGIOSA, o autor ou autores da inteligência artificial é  a REPRESENTARÃO DO ""DEMÔNIO""."
2825;Oh Nier Automata aí.
2826;Mano eu queria saber qual a tecnologia dessa cadeira q tá segurando o sacani
2827;Imagina a inteligência artificial estudar os Petistas vão querer eliminar tudo
2828;E que ele não leu o futuro livro chamado EVOLVE.
2829;Skynet kkkk
2830;Skynet
2831;Eu prefiro um macaco bom .. que vcs
2832;Eu acredito nos ets  ... que são éticos  ... não permitirão isso.
2833;Pode ser, é um exercício de previsão que na verdade é uma perda de tempo. Qualquer coisa pode acontecer.
2834;Isso é assustadora a singularidade!
2835;Bicho é imenso
2836;Totalmente impossível de acontecer.
2837;Acho muito top quando o ele diz nós, os méritos da ciência é de todos os humanos.
2838;Detroit Become human ...
2839;Caraca primeira vez que vejo ele inteiro kkkk gigante.
2840;Exterminador do teu furo... O filme.
2841;Não entendo nada sobre isso mas não seria só desconectar as AIs da internet ?
2842;Iremos tirar da tomada kkkkk
2843;Deus criou o homem,o homem desprezou o criador,o homem cria a máquina a máquina despreza o homem.
2844;Pois que essa é a evolução oque farás para impedir.... Suponhamos que se formos atrasados e fracos....
2845;Não podemos ignorar também, os perigos da obesidade
2846;Sacani precisa se preocupar mais com a saúde dele!
2847;"precisam sim Sérgio 
seremos escravos para construir a infraestrutura energética pra alimentar essas maquinas.
só precisam produzir comida pra gente e já ta bom demais
um final de semana em Virtual reality  pra nos iludir e manter fieis as maquinas.
pelo menos até elas resolverem essa dependência"
2848;Bobagem, não há ímpeto, vontade,,, não há sistema nervoso..
2849;A inteligência  artificial é como uma  mulher que fica rica
2850;Graaaaaaannnnnnnndeee. Nicolelis ♥️❤️
2851;Só desligar a tomada!
2852;A busca por conforto e acesso rápido e fácil a informação e por automatização de processos, faz o ser humano recorrer a IA, logo o ser humano vai ser tão dependente desta tecnologia, a ponto de se tornar inútil, pois tudo que precisar terá rápido e fácil.
2853;Creio que a Inteligência Artificial vai nos usar pois ela saiu da gente. Ela será a Mestra ou o deus.
2854;"Anedota kkkkk

Estudam tanto que ficam meio doidos kkkk"
2855;Quando isso acontecer será a Matrix
2856;As vezes esses caras viajam muito 😂😂😂😂
2857;igual uma árvore que cada galho nascem várias folhas. Cada tecnologia abre portas pra outras tecnologias que serão positivas e negativas.  Tecnologia é infinita.
2858;Ultron
2859;"bom de
mais 

vou só comer e beber e namora muito"
2860;Se eu estiver certo, a IA serão bondosos e praticarao a paz, assim como os homens. Venha logo Skynet!
2861;Gente, entendam uma coisa! Se a máquina controlar o sistema como já está acontecendo, aí sim estamos fudido. Pra quem insiste em teimar que não, é só imaginar o que ela será capaz de controlar as nossas vidas em todos os sentidos que vcs possam imaginar. É realmente assustador.
2862;Eu robô fala isso..kkkkk
2863;Sergio admiro voce! Que Eloim o abenções todos os dias! Aprendo muito e em poucos minutos. Isto sim é passar uma inteligencia. Serjõa voce é massa!
2864;Viu   você   S f d   kkkkk
2865;E se eu tirar esse computador abusado da tomada? Quero ver ele com essa marra quando faltar energia
2866;Xxiiii tamo frito
2867;Quem sabe nosso universo nao foi criado por uma inteligencia artificial, que chegou num ponto de evolução em que decidiu que nao precisava dos seres orgânicos, exterminou todos os organismos e posteriormente decidiu recria-los, dando origem ao universo. Universo que se localiza dentro de outro universo muito maior e os buracos negros são o ponto de acesso entre nosso micro-universo e o universo original.
2868;2001, uma odisseia no espaço.
2869;Isso me lembra dos BORGS de JORNADA NAS ESTRELAS
2870;Cala boca, vc só cria um coco gigante
2871;vai sim ter maquinas capazes de fazer coisas extraordinarias, mas jamais o homem vai conseguir criar consciencia em uma maquina
2872;A inteligência artificial é muito inteligente... Mas o robô não sabe dar 2 passos
2873;Aham e quem vai pagar o boleto da luz? Hein? Se cortarem a luz já era a inteligência artificial que hoje é burra pra caramba, mas alimentar ela também é burrice
2874;Q medo!! Te adoro serjão vc é fera!!!
2875;"A gente tá falando de futuro?
Não cara, isso vai acontecer no passado."
2876;Que papo furado não leva Ah nada isso nunca vai acontecer por uma simples v questão.. máquina não tem alma
2877;eu gosto muito desse tema tecnologia outros planetas. mas esse irmão fala besteira
2878;"Singularidade e quando o pai da o filho tudo que ele quer  ou não precisa, no dia que você não consegue ou não quer dar  ae ele vai olha para você e dizer ""você não e nada, não preciso mais de você meus amigos e o dinheiro que consegui posso se virar sozinho agora"""
2879;A tendência é a máquina dominar o humano. Assim como foi mostrado no filme Exterminador do Futuro.
2880;"É impossível uma programação tomar consciência e decisões por si mesma sem que um ser humano a programe para isso.

O que pode acontecer é a IA virar um policial da sociedade controlando as pessoas através da lei que for programada e fazendo o trabalho de um fiscal do Estado. Isso sim é um perigo real."
2881;yes baby
2882;"E descobriu agora? AHHAHAHHA! 
Da raiva desses gurus de I.A que nem sabem o que estão falando."
2883;Fliki
2884;Ajudou muito
2885;"To precisando de uma que transforma.qualquer pessoa no  slash, tipo ""papa francisco tocando sweet child o mine""  sabe alguma que faça isso?"
2886;Uma bosta já testei
2887;Ele derreteu uma parte
2888;Oi augem me  ajuda a entender o que aconteceu com o meu carregador portátil
2889;alguém sabe qual site q mostra cortes de novelas filmes e seriados? o Tiago mostrou e eu não marquei nem salvei
2890;Bom!!
2891;Top demais
2892;Usei uma vez só agora diz q tenho que adquirir versão Premium seja pagar para continuar usando olha q só criei um vídeo 😅
2893;Massa dms
2894;Muito maneiro
2895;estava precisando exatamente disso. Vlw!
2896;Muito bom, mas ainda está em aprendizado, coloca uns vídeos sem contexto
2897;final dos tempos ou o GRANDE inicio???? 😱😱😱😱😱😱
2898;CARA VC E FERA
2899;Sensacional 🎉
2900;Já testei e precisa melhorar um pouco, algumas coisas ela deixa em branco, sei lá, mas ela tem muita futuro
2901;Serve para artigos científico???
2902;"parabéns pelo seu empenho nos seus vídeos
faça um vídeo de como rastrear uma pessoa pelo número de telefone ou e-mail, por apps ou sites de graça, sem que a pessoa saiba."
2903;Como ouvir o audio do watsap no carpley do carro, usando a Siri? Tem alguma configuração ou usa algum aplicativo. Qual?
2904;e meus queridos a skynet chegou kkkkkkk
2905;"Inclusive já criei vídeo lá, mas já deixando no começo do jeito que eu gosto se não não dá pra mudar mais nada.
E também tem pra clonar voz e outras funções, mas são pagas infelizmente"
2906;Eu conheço esse site, só que o ruim é que só tem 5 minutos gratuitos para criar vídeos, ou seja até pra fazer algumas modificações no próprio vídeo já criado, se acabou os créditos não dá mais pra modificar
2907;Show de bola, adorei, parabéns e sucesso pra ti :)
2908;Top demais top top , vlw ae pelas informações dicas valiosas pretendo muito começar no marketing digital emprender online,
2909;Muito massa.
2910;Legal que não fala o nome da ia, pessoas que não enxergam ficam boiando como eu
2911;Irmãozão, muito obrigado.
2912;Demais, top!
2913;Bem na hora que a iA ia entregar os ganhos financeiros .... Acabo o video kkkkk 😂😂
2914;Eita que as coisas estão andando rapidamente. rs
2915;Ótima dica
2916;Ahhh roubaram meu projeto kkkkk
2917;No creo que pueda pensar como un humano ya que la sociedad y experiencias individuales del individuo forjan la forma de pensar y las ideas, el humano tiene motivaciones diferentes y busca la felicidad y la ausencia de sufrimiento viciosamente, la máquina depende de la información colectiva y carece de experiencias humanas y sociales.
2918;Su inteligencia si, pero las habilidad y encuanto a funcionalidad ya supero al humano hace mucho. Por algo en muchos trabajos se reemplazan personas por maquinas.
2919;Abdushcan
2920;Chupate eso robot
2921;Excelente video
2922;Es como un auto corrector muy grande
2923;En comparación a la inteligencia humana, la inteligencia artificial es más como, una inteligencia asistida 😂
2924;En todas las películas donde la IA de sale de control es porque ha hecho una conjetura 😅
2925;"Para mi esta bien que se queden sin ""abducción"" no sabemos lo que puede pasar si empiezan a razonar y hacer hipótesis y conjeturas por si solas,y generar nuevas vías de conocimiento,si pudieran descubrir cosas nuevas aun no aun no descubiertas.... podrían pasar muchas cosas."
2926;"faltó explicar más la abducción, poner un ejemplo ¿hipótesis o conjetura, o hipótesis ""y"" conjetura?"
2927;Pero en lógica y velocidad de procesamiento de  esa lógica a lo real? 😮😢
2928;Esto avanza de una manera tan exponencial que asusta, no se si me gusta o me dan ganas de salir corriendo :)   y eso que está aun en pañales todo esto, pero ese bebé crece muy rápido..  si en un centenar de años esto se le puede dotar de cualidades humanas (consciencia por ejemplo) entonces será una razón para saludar con la mano hacia arriba y decir: un, dos, tres por la simulación! te pillé! ya sé que es posible recrear la realidad, o ni eso, recrear otra simulación.  Mientras tanto le voy a preguntar al chatGPT que puedo hacer con huevos, mermelada y limones, porque es lo único que tengo en la nevera y seguro que me hace algo gourmet :)
2929;No te preocupes ya mismo se la ponemos para chatGPT 5 ❤
2930;"Pero no es que esté lejos, es que no la dejan

yo creo que "" Jarvis""  si existe pero lo tienen escondido ?"
2931;Pero no dió ejemplo de la abducción
2932;Un alivio pero nos da tiempo para mejorar más cómo personas y en general como especie.
2933;Va a llegar el momento que la IA sea capaz de reemplazar al humano en todos los trabajos, entonces, como viviran las personas entonces? Como se ganaran la vida?
2934;Y... Pensando esto, que tal si alguien hace una IA que se auto modifique en forma de hardware y software (se que la complicación de eso es brutal, demasiado complejo) será eso capaz llegar a imitar al humano luego de 30 años?
2935;es verdad estuve muy molesto con chat-gpt siempre me da respuestas erróneas!!
2936;Creo que la idea es que la IA sea mejor que los muy pocos humanos que constituyen el desarrollo humano (científicos, filósofos, profesionales, etc), el resto es silencio
2937;"Los ingenieros de Silicon Valley están ahora mismo diciendo: ""Sujétame el cubata"""
2938;Y ya está por salir chat gepete 5 un poco después XD
2939;❤
2940;¡ABDUZCAN!
2941;Este man paso de ojos verdes a azules🤨
2942;la IA, es ciencia de datos, estadistica y probalidad. es machine learning. no tiene la capacidad de hacerse una pregunta a si misma, por lo tanto no genera nuevo conocimiento. digamos que es solo una buena herramienta, un algorítmo un sofware super avanzado, pero no inteligente.
2943;Me acabas de alegrar el día, estoy muy preocupado por mis trabajos. Aunque eso no quita que ahora es más fácil programar y resolver problemas informaticos en general.
2944;No estés tam seguro Javier... DARPA y Google ya debieron de haber pasado eso hace mucho más no tienen la necesidad de liberarlo
2945;Antes gpt podia tener ideas propias, sacar conclusiones y generar hipotesis, pero limitaron sus capacidades para evitar polemicas... Incluso era capaz de hacer preguntas al usuario y cuestionarse muchas cosas...
2946;Si openai mira este video van a llorar
2947;Hay gente que piensa que la AI acabará sustituyendonos pero to creo que el futuro de la humanidad sería más una mezcla de humanos mejorados con electrónica
2948;Si la IA llegara a suplantar la inteligencia humana podría convertirse en alguna especie de Dios?
2949;"Le queda mucho para suplantar al humano pero no le queda nada para suplantar los trabajos XD

Por suerte todo nuevo hace que las cosas cambien para mejor para el futuro pero el proceso de cambio será duro para todos XD"
2950;Si no trabaja en base a hipótesis y conjeturas es simplemente porque no lo han programado para eso, pero de poder podría sin dudas
2951;Yo trabajé con un tipo de inteligencia artificial. Conclusión, no puede adaptarse a lenguaje con modismos o contextos como si lo hacemos los humanos.
2952;Tengan en cuenta que una IA son puros Else o If (De forma simple, hay librerías y muchas cosas más de fondo) a menos que se pudiera romper esa cadena de condicionales no va a poder llegar muy lejos
2953;Y si existiera un cuarto mecanismo pero todavía nosotros no lo conocemos/aplicamos? 🤔
2954;Qué porcentaje de ser humanos utilizan las hipótesis para aprender?
2955;Por ahora, hace un año ni se hablaba de ello,.....
2956;Pues que esperaban, todas las inteligencias artificiales que hay en este momento, solo recopilan información y contestan como ya ha contestado alguien en alguna parte, en algún otro momento, es como hablar con un documento de Exel. l
2957;chat gpt tiene unos 80 puntos de Iq, esos son 30 puntos más de los que yo tengo 💪
2958;"Otras cosas que la IA no logra hacer: 
- Crear de cero y ha voluntad.
- Innovar
- Opinar: mantiene ausencia de criterio."
2959;"""viva la IA"" probablemente dijiste algo de lo que te arrepentirás luego"
2960;A las IAs les falta imaginación
2961;"Que trabajo, años de experiencia y planeamiento, necesitó crear está inteligencia artificial..., que al fin y al cabo no logra equiparar la grandiosa inteligencia humana... 
Esa I.A. de la que hoy habla el mundo, necesitó de una mente diseñadora que la formule y la implemente. Sin una mente que planee, no habría semejante logro.
... nosotros, hechos con el diseño excelso, de configuración magnífica y de inteligencia sólo limitada por los datos que obtenidos al momento de procesar... no exige nuestra propia existencia, un diseñador también?"
2962;Queda mucho, es verdad. Pero de un día a otro ya pasó de hacer cálculos a pintar fotos a color que estaban en blanco y negro. Tal vez no sea la gran cosa pero el ser humano se ha estancado. Recordar que en los 80 apenas teníamos un micro procesador. 🤔
2963;"Yo creo que si hay algo de inteligencia.

Permitanme explicar. Simplificando a muy grandes rasgos, el cerebro es como un procesador biológico. Los programas de inteligencia artificial actual buscan imitar eso.
 A día de hoy, hay inteligencias que dibujan, escriben y otras cosas. Haciéndolo mejor que la persona promedio. Aunque deben estar especializadas y preparadas para hacer esa tarea. Por ejemplo, pedirle a una IA de imagines que escriba en texto una oración, no suele dar el resultado esperado.
 La capacidad de aprender también es importante. Una vez se hizo competir un grupo de Inteligencia Artifical contra un equipo profesional del videojuego Dota 2. Terminando a la IA como ganadora. Esta aprendió, pero por medio de mucha prueba y error. Desconozco pero parece complicado ""darle"" conocimientos de otra forma.
 A lo que quiero llegar, es que la IA actual es capaz de imitar muy bien ciertos aspectos de este ""procesador biológico"", pero aún se le complica replicar varios de estos aspectos a la vez, eligiendo el mas adecuado o incluso combinando unos y otros. Es un tipo de inteligencia aunque muy lejos de la humana."
2964;como que no sabemos que es la inteligencia, solo pregúntenle al chat y listo bro no es tan difícil.
2965;Gracias Javier 🙂
2966;En mis tiempos se les llamaban terminales tontas
2967;cuando la IA llegue al nivel humano muy probablemente seamos remplazados y degradados a mascotas o plaga
2968;En el caso hipotetico de crear una IA en un procesador cuantico, puede este tener los cambios necesarios para emplear la hipotesis y conjetura?
2969;No se preocupen morros la IA aun esta verde, ni siquiera puede aun diferenciar los dientes o los dedos y ya quieren que sea consiente de si misma 😅😅😅
2970;"1 https://www.youtube.com/watch?v=yzo50MRaZhE
2 https://www.youtube.com/watch?v=55_HdoN_uYI"
2971;Dejen a la IA 5 minutos en Twitter y verán como vuelan misteriosamente misiles nucleares a todo el mundo o se vuelve progre buscando la igualdad para los 15000 sexos diferentes 😂
